NumXCells: 80
NumGhostCells: 4
Time: 0
CFL: 0.5
-1.11667 0 0
-1.08333 0 0
-1.05 0 0
-1.01667 0 0
-0.983333 0 0
-0.95 0 0
-0.916667 0 0
-0.883333 0 0
-0.85 0 0
-0.816667 0 0
-0.783333 0 0
-0.75 0 0
-0.716667 0 0
-0.683333 0 0
-0.65 0 0
-0.616667 0 0
-0.583333 0 0
-0.55 0 0
-0.516667 0 0
-0.483333 0 0
-0.45 0 0
-0.416667 0 0
-0.383333 0 0
-0.35 0 0
-0.316667 0 0
-0.283333 0 0
-0.25 0 0
-0.216667 0 1
-0.183333 0 1
-0.15 0 1
-0.116667 0 1
-0.0833333 0 1
-0.05 0 1
-0.0166667 0 1
0.0166667 0 1
0.05 0 1
0.0833333 0 1
0.116667 0 1
0.15 0 1
0.183333 0 1
0.216667 0 1
0.25 0 0
0.283333 0 0
0.316667 0 0
0.35 0 0
0.383333 0 0
0.416667 0 0
0.45 0 0
0.483333 0 0
0.516667 0 0
0.55 0 0
0.583333 0 0
0.616667 0 0
0.65 0 0
0.683333 0 0
0.716667 0 0
0.75 0 0
0.783333 0 0
0.816667 0 0
0.85 0 0
0.883333 0 0
0.916667 0 0
0.95 0 0
0.983333 0 0
1.01667 0 0
1.05 0 0
1.08333 0 0
1.11667 0 0
-1.11667 0 0
-1.08333 0 0
-1.05 0 0
-1.01667 0 0
-0.983333 0 0
-0.95 0 0
-0.916667 0 0
-0.883333 0 0
-0.85 0 0
-0.816667 0 0
-0.783333 0 0
-0.75 0 0
-0.716667 0 0
-0.683333 0 0
-0.65 0 0
-0.616667 0 0
-0.583333 0 0
-0.55 0 0
-0.516667 0 0
-0.483333 0 0
-0.45 0 0
-0.416667 0 0
-0.383333 0 0
-0.35 0 0
-0.316667 0 0
-0.283333 0 0
-0.25 0 0
-0.216667 0 1
-0.183333 0 1
-0.15 0 1
-0.116667 0 1
-0.0833333 0 1
-0.05 0 1
-0.0166667 0 1
0.0166667 0 1
0.05 0 1
0.0833333 0 1
0.116667 0 1
0.15 0 1
0.183333 0 1
0.216667 0 1
0.25 0 0
0.283333 0 0
0.316667 0 0
0.35 0 0
0.383333 0 0
0.416667 0 0
0.45 0 0
0.483333 0 0
0.516667 0 0
0.55 0 0
0.583333 0 0
0.616667 0 0
0.65 0 0
0.683333 0 0
0.716667 0 0
0.75 0 0
0.783333 0 0
0.816667 0 0
0.85 0 0
0.883333 0 0
0.916667 0 0
0.95 0 0
0.983333 0 0
1.01667 0 0
1.05 0 0
1.08333 0 0
1.11667 0 0
-1.11667 0 0
-1.08333 0 0
-1.05 0 0
-1.01667 0 0
-0.983333 0 0
-0.95 0 0
-0.916667 0 0
-0.883333 0 0
-0.85 0 0
-0.816667 0 0
-0.783333 0 0
-0.75 0 0
-0.716667 0 0
-0.683333 0 0
-0.65 0 0
-0.616667 0 0
-0.583333 0 0
-0.55 0 0
-0.516667 0 0
-0.483333 0 0
-0.45 0 0
-0.416667 0 0
-0.383333 0 0
-0.35 0 0
-0.316667 0 0
-0.283333 0 0
-0.25 0 0
-0.216667 0 1
-0.183333 0 1
-0.15 0 1
-0.116667 0 1
-0.0833333 0 1
-0.05 0 1
-0.0166667 0 1
0.0166667 0 1
0.05 0 1
0.0833333 0 1
0.116667 0 1
0.15 0 1
0.183333 0 1
0.216667 0 1
0.25 0 0
0.283333 0 0
0.316667 0 0
0.35 0 0
0.383333 0 0
0.416667 0 0
0.45 0 0
0.483333 0 0
0.516667 0 0
0.55 0 0
0.583333 0 0
0.616667 0 0
0.65 0 0
0.683333 0 0
0.716667 0 0
0.75 0 0
0.783333 0 0
0.816667 0 0
0.85 0 0
0.883333 0 0
0.916667 0 0
0.95 0 0
0.983333 0 0
1.01667 0 0
1.05 0 0
1.08333 0 0
1.11667 0 0
-1.11667 0 0
-1.08333 0 0
-1.05 0 0
-1.01667 0 0
-0.983333 0 0
-0.95 0 0
-0.916667 0 0
-0.883333 0 0
-0.85 0 0
-0.816667 0 0
-0.783333 0 0
-0.75 0 0
-0.716667 0 0
-0.683333 0 0
-0.65 0 0
-0.616667 0 0
-0.583333 0 0
-0.55 0 0
-0.516667 0 0
-0.483333 0 0
-0.45 0 0
-0.416667 0 0
-0.383333 0 0
-0.35 0 0
-0.316667 0 0
-0.283333 0 0
-0.25 0 0
-0.216667 0 1
-0.183333 0 1
-0.15 0 1
-0.116667 0 1
-0.0833333 0 1
-0.05 0 1
-0.0166667 0 1
0.0166667 0 1
0.05 0 1
0.0833333 0 1
0.116667 0 1
0.15 0 1
0.183333 0 1
0.216667 0 1
0.25 0 0
0.283333 0 0
0.316667 0 0
0.35 0 0
0.383333 0 0
0.416667 0 0
0.45 0 0
0.483333 0 0
0.516667 0 0
0.55 0 0
0.583333 0 0
0.616667 0 0
0.65 0 0
0.683333 0 0
0.716667 0 0
0.75 0 0
0.783333 0 0
0.816667 0 0
0.85 0 0
0.883333 0 0
0.916667 0 0
0.95 0 0
0.983333 0 0
1.01667 0 0
1.05 0 0
1.08333 0 0
1.11667 0 0
-1.11667 0 0
-1.08333 0 0
-1.05 0 0
-1.01667 0 0
-0.983333 0 0
-0.95 0 0
-0.916667 0 0
-0.883333 0 0
-0.85 0 0
-0.816667 0 0
-0.783333 0 0
-0.75 0 0
-0.716667 0 0
-0.683333 0 0
-0.65 0 0
-0.616667 0 0
-0.583333 0 0
-0.55 0 0
-0.516667 0 0
-0.483333 0 0
-0.45 0 0
-0.416667 0 0
-0.383333 0 0
-0.35 0 0
-0.316667 0 0
-0.283333 0 0
-0.25 0 0
-0.216667 0 1
-0.183333 0 1
-0.15 0 1
-0.116667 0 1
-0.0833333 0 1
-0.05 0 1
-0.0166667 0 1
0.0166667 0 1
0.05 0 1
0.0833333 0 1
