NumXCells: 80
NumYCells: 60
NumGhostCells: 4
Time: 0.6375
CFL: 0.3
-1.0875 -1.11667 0.122631
-1.0875 -1.08333 0.0596267
-1.0875 -1.05 0.0235593
-1.0875 -1.01667 0.00873714
-1.0875 -0.983333 0.00310524
-1.0875 -0.95 0.00106013
-1.0875 -0.916667 0.000348422
-1.0875 -0.883333 0.000110449
-1.0875 -0.85 3.38256e-05
-1.0875 -0.816667 1.00231e-05
-1.0875 -0.783333 2.87747e-06
-1.0875 -0.75 8.01285e-07
-1.0875 -0.716667 2.1667e-07
-1.0875 -0.683333 5.69473e-08
-1.0875 -0.65 1.45604e-08
-1.0875 -0.616667 3.62389e-09
-1.0875 -0.583333 8.77827e-10
-1.0875 -0.55 2.06385e-10
-1.0875 -0.516667 4.66266e-11
-1.0875 -0.483333 9.96366e-12
-1.0875 -0.45 2.33734e-12
-1.0875 -0.416667 1.02127e-12
-1.0875 -0.383333 5.54696e-13
-1.0875 -0.35 2.876e-13
-1.0875 -0.316667 1.44831e-13
-1.0875 -0.283333 7.0874e-14
-1.0875 -0.25 3.37343e-14
-1.0875 -0.216667 1.07182e-13
-1.0875 -0.183333 2.58536e-12
-1.0875 -0.15 4.52577e-11
-1.0875 -0.116667 5.3729e-10
-1.0875 -0.0833333 4.8394e-09
-1.0875 -0.05 3.52264e-08
-1.0875 -0.0166667 2.15383e-07
-1.0875 0.0166667 1.1351e-06
-1.0875 0.05 5.25137e-06
-1.0875 0.0833333 2.16144e-05
-1.0875 0.116667 7.99462e-05
-1.0875 0.15 0.000267746
-1.0875 0.183333 0.000816533
-1.0875 0.216667 0.00227681
-1.0875 0.25 0.0058206
-1.0875 0.283333 0.0136622
-1.0875 0.316667 0.0294451
-1.0875 0.35 0.0581731
-1.0875 0.383333 0.104817
-1.0875 0.416667 0.169056
-1.0875 0.45 0.231969
-1.0875 0.483333 0.268307
-1.0875 0.516667 0.283413
-1.0875 0.55 0.288975
-1.0875 0.583333 0.290584
-1.0875 0.616667 0.290779
-1.0875 0.65 0.29053
-1.0875 0.683333 0.289354
-1.0875 0.716667 0.286
-1.0875 0.75 0.278239
-1.0875 0.783333 0.262452
-1.0875 0.816667 0.233681
-1.0875 0.85 0.186984
-1.0875 0.883333 0.122631
-1.0875 0.916667 0.0596267
-1.0875 0.95 0.0235593
-1.0875 0.983333 0.00873714
-1.0875 1.01667 0.00310524
-1.0875 1.05 0.00106013
-1.0875 1.08333 0.000348422
-1.0875 1.11667 0.000110449
-1.0625 -1.11667 0.0550292
-1.0625 -1.08333 0.0267332
-1.0625 -1.05 0.0105545
-1.0625 -1.01667 0.0039119
-1.0625 -0.983333 0.00138954
-1.0625 -0.95 0.000474129
-1.0625 -0.916667 0.000155742
-1.0625 -0.883333 4.93426e-05
-1.0625 -0.85 1.5103e-05
