NumXCells: 80
NumYCells: 60
NumGhostCells: 4
Time: 2
CFL: 0.3
-1.0875 -1.11667 2.31762e-13
-1.0875 -1.08333 1.88383e-13
-1.0875 -1.05 1.59084e-13
-1.0875 -1.01667 1.43084e-13
-1.0875 -0.983333 1.40186e-13
-1.0875 -0.95 1.50831e-13
-1.0875 -0.916667 1.76332e-13
-1.0875 -0.883333 2.1866e-13
-1.0875 -0.85 2.80383e-13
-1.0875 -0.816667 3.64656e-13
-1.0875 -0.783333 4.7513e-13
-1.0875 -0.75 6.15939e-13
-1.0875 -0.716667 7.91512e-13
-1.0875 -0.683333 1.00668e-12
-1.0875 -0.65 1.26688e-12
-1.0875 -0.616667 1.57852e-12
-1.0875 -0.583333 1.95161e-12
-1.0875 -0.55 2.40268e-12
-1.0875 -0.516667 2.96392e-12
-1.0875 -0.483333 3.65138e-12
-1.0875 -0.45 4.60199e-12
-1.0875 -0.416667 5.92936e-12
-1.0875 -0.383333 8.01849e-12
-1.0875 -0.35 1.12936e-11
-1.0875 -0.316667 1.63715e-11
-1.0875 -0.283333 2.35728e-11
-1.0875 -0.25 3.33832e-11
-1.0875 -0.216667 4.56766e-11
-1.0875 -0.183333 5.90298e-11
-1.0875 -0.15 6.99043e-11
-1.0875 -0.116667 7.58504e-11
-1.0875 -0.0833333 7.81274e-11
-1.0875 -0.05 7.86956e-11
-1.0875 -0.0166667 7.87351e-11
-1.0875 0.0166667 7.86283e-11
-1.0875 0.05 7.8484e-11
-1.0875 0.0833333 7.72843e-11
-1.0875 0.116667 7.44833e-11
-1.0875 0.15 6.94822e-11
-1.0875 0.183333 6.17863e-11
-1.0875 0.216667 5.10189e-11
-1.0875 0.25 3.73124e-11
-1.0875 0.283333 2.29546e-11
-1.0875 0.316667 1.23753e-11
-1.0875 0.35 6.81954e-12
-1.0875 0.383333 5.04009e-12
-1.0875 0.416667 4.26426e-12
-1.0875 0.45 3.57209e-12
-1.0875 0.483333 2.97704e-12
-1.0875 0.516667 2.46942e-12
-1.0875 0.55 2.03968e-12
-1.0875 0.583333 1.67756e-12
-1.0875 0.616667 1.37318e-12
-1.0875 0.65 1.118e-12
-1.0875 0.683333 9.04925e-13
-1.0875 0.716667 7.27982e-13
-1.0875 0.75 5.82102e-13
-1.0875 0.783333 4.62944e-13
-1.0875 0.816667 3.66807e-13
-1.0875 0.85 2.90588e-13
-1.0875 0.883333 2.31762e-13
-1.0875 0.916667 1.88383e-13
-1.0875 0.95 1.59084e-13
-1.0875 0.983333 1.43084e-13
-1.0875 1.01667 1.40186e-13
-1.0875 1.05 1.50831e-13
-1.0875 1.08333 1.76332e-13
-1.0875 1.11667 2.1866e-13
